repo,test_ratio,test_files,java_files,num_commits,stars,has_ci_system,has_build_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
sling-org-apache-sling-launchpad-integration-tests,0.8931,142,159,539.0,6,True,True,Java,7,2010-06-02 20:06:21+00:00,2025-10-22 18:23:38+00:00,5620.0
commons-csv,0.7358,39,53,3039.0,401,True,True,Java,287,2005-12-17 05:41:27+00:00,2025-11-21 14:40:16+00:00,7279.0
maven-surefire,0.6431,964,1499,3522.0,448,True,True,Java,558,2004-01-30 22:03:57+00:00,2025-11-08 23:20:58+00:00,7953.0
datasketches-memory,0.6182,34,55,1097.0,127,True,True,Java,36,2017-03-16 20:51:54+00:00,2025-04-19 04:35:51+00:00,2955.0
commons-logging,0.6076,48,79,1922.0,161,True,True,Java,132,2001-08-02 16:27:06+00:00,2025-11-21 14:42:55+00:00,8876.0
sling-org-apache-sling-testing-sling-mock,0.5797,80,138,640.0,4,True,True,Java,12,2014-10-13 14:32:45+00:00,2025-11-18 08:44:45+00:00,4053.0
commons-cli,0.5647,48,85,2090.0,380,True,True,Java,213,2002-06-10 18:01:16+00:00,2025-11-21 14:39:14+00:00,8564.0
commons-validator,0.5031,80,159,2749.0,218,True,True,Java,168,2002-01-06 00:47:39+00:00,2025-11-21 14:25:55+00:00,8720.0
commons-exec,0.4923,32,65,1600.0,154,True,True,Java,89,2005-07-29 02:59:37+00:00,2025-11-21 14:41:07+00:00,7420.0
commons-dbutils,0.4835,44,91,1473.0,386,True,True,Java,182,2003-11-02 19:15:24+00:00,2025-11-21 14:40:37+00:00,8054.0
activemq-artemis,0.4794,2233,4658,11850.0,993,True,True,Java,942,2014-10-29 15:52:15+00:00,2025-11-19 16:05:38+00:00,4039.0
commons-text,0.478,98,205,2608.0,367,True,True,Java,272,2014-11-11 19:42:39+00:00,2025-11-21 14:44:48+00:00,4027.0
commons-io,0.4749,255,537,5920.0,1047,True,True,Java,702,2002-01-25 19:06:14+00:00,2025-11-21 14:41:47+00:00,8700.0
commons-dbcp,0.471,65,138,3486.0,358,True,True,Java,249,2001-04-14 17:14:51+00:00,2025-11-21 14:40:26+00:00,8986.0
commons-lang,0.4637,236,509,9020.0,2879,True,True,Java,1800,2002-07-19 03:35:56+00:00,2025-11-21 14:42:46+00:00,8526.0
commons-codec,0.461,71,154,3257.0,470,True,True,Java,253,2003-04-25 17:51:00+00:00,2025-11-21 14:39:24+00:00,8245.0
ws-axiom,0.4601,935,2032,5580.0,13,True,True,Java,22,2006-02-01 02:24:08+00:00,2025-11-21 03:05:30+00:00,7233.0
commons-email,0.46,46,100,1938.0,167,True,True,Java,121,2004-11-25 09:56:55+00:00,2025-11-21 14:40:57+00:00,7666.0
incubator-retired-tamaya,0.4597,97,211,1575.0,45,True,True,Java,32,2014-11-22 14:28:01+00:00,2019-11-12 20:52:35+00:00,1816.0
commons-collections,0.457,292,639,4981.0,711,True,True,Java,501,2001-04-14 15:38:58+00:00,2025-11-21 14:39:34+00:00,8986.0
commons-beanutils,0.4561,130,285,2335.0,307,True,True,Java,225,2001-03-27 05:25:34+00:00,2025-11-21 14:36:46+00:00,9005.0
commons-fileupload,0.4556,41,90,2068.0,254,True,True,Java,192,2002-03-24 07:05:13+00:00,2025-11-21 18:03:16+00:00,8643.0
karaf-decanter,0.453,82,181,1188.0,39,True,True,Java,48,2014-10-14 14:04:58+00:00,2025-11-11 16:04:29+00:00,4046.0
johnzon,0.4424,215,486,1107.0,53,True,True,Java,65,2014-06-13 13:44:40+00:00,2025-11-13 22:15:47+00:00,4171.0
commons-statistics,0.4392,148,337,1054.0,60,True,True,Java,28,2018-01-03 01:57:38+00:00,2025-11-21 14:44:38+00:00,2879.0
commons-functor,0.4368,166,380,900.0,25,True,True,Java,25,2003-01-27 19:33:44+00:00,2025-03-22 13:33:09+00:00,8089.0
tiles,0.4343,109,251,1465.0,106,False,True,Java,86,2004-12-30 06:56:21+00:00,2018-09-07 11:28:24+00:00,4999.0
commons-numbers,0.4336,111,256,1646.0,80,True,True,Java,62,2017-01-04 10:04:25+00:00,2025-11-21 14:43:25+00:00,3243.0
activemq,0.4301,1893,4401,12134.0,2409,True,True,Java,1479,2005-12-12 17:53:59+00:00,2025-11-20 17:30:46+00:00,7282.0
maven-wagon,0.4286,81,189,1393.0,48,True,True,Java,107,2004-03-30 14:42:58+00:00,2025-11-16 01:29:41+00:00,7900.0
sling-org-apache-sling-servlets-resolver,0.4231,33,78,680.0,7,True,True,Java,15,2009-02-22 13:42:49+00:00,2025-11-14 11:50:48+00:00,6108.0
hadoop-hdfs,0.4184,218,521,1134.0,202,False,True,Java,113,2009-05-19 04:20:40+00:00,2011-06-12 18:37:33+00:00,754.0
maven-mvnd,0.4171,83,199,1370.0,3307,True,True,Java,238,2019-09-21 17:54:59+00:00,2025-11-14 21:20:40+00:00,2246.0
camel,0.414,7557,18252,77518.0,6050,True,True,Java,5087,2007-03-19 10:54:57+00:00,2025-11-19 11:23:42+00:00,6820.0
commons-configuration,0.3969,181,456,4608.0,211,True,True,Java,145,2003-12-23 15:09:04+00:00,2025-11-21 14:31:31+00:00,8003.0
geode,0.3968,3388,8538,11309.0,2328,True,True,Java,692,2015-04-28 21:37:16+00:00,2025-11-19 11:55:25+00:00,3857.0
systemds,0.3945,1158,2935,9057.0,1070,True,True,Java,509,2015-08-15 19:24:25+00:00,2025-11-16 10:42:58+00:00,3745.0
zookeeper,0.3942,378,959,2667.0,12663,True,True,Java,7329,2008-05-19 17:51:27+00:00,2025-11-10 13:19:53+00:00,6383.0
velocity-engine,0.3915,157,401,4478.0,398,False,True,Java,135,2000-09-30 17:03:07+00:00,2025-07-18 05:21:25+00:00,9056.0
maven-scm,0.3898,175,449,2334.0,98,True,True,Java,182,2004-04-20 19:05:47+00:00,2025-11-06 17:15:39+00:00,7869.0
hbase,0.3897,2011,5160,20776.0,5483,False,True,Java,3382,2007-04-03 20:34:28+00:00,2025-11-18 07:33:11+00:00,6803.0
commons-rng,0.389,156,401,1963.0,59,True,True,Java,41,2016-08-07 21:44:22+00:00,2025-11-21 14:44:11+00:00,3392.0
datasketches-java,0.3872,223,576,3509.0,933,True,True,Java,216,2015-06-30 01:05:21+00:00,2025-11-15 18:06:26+00:00,3791.0
avro,0.3864,301,779,4836.0,3179,True,True,Java,1712,2009-04-09 18:13:31+00:00,2025-11-18 10:58:10+00:00,6066.0
jackrabbit-oak,0.3847,2332,6062,20579.0,402,True,True,Java,427,2012-03-06 10:47:25+00:00,2025-11-20 10:20:09+00:00,5006.0
commons-compress,0.3831,241,629,6348.0,382,True,True,Java,304,2003-11-23 20:07:47+00:00,2025-11-21 14:39:44+00:00,8033.0
commons-crypto,0.383,36,94,1991.0,127,True,True,Java,95,2015-03-27 08:35:20+00:00,2025-11-21 14:40:03+00:00,3892.0
camel-spring-boot,0.3802,950,2499,44498.0,179,True,True,Java,189,2007-03-19 10:54:57+00:00,2025-11-21 09:20:45+00:00,6821.0
ignite,0.3784,3848,10170,29690.0,5010,True,True,Java,1926,2014-02-20 10:33:43+00:00,2025-11-21 07:25:17+00:00,4291.0
