repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
directory-scimple,88,2311.0,0.1705,44,258,True,True,Java,44,2016-03-23 18:47:14+00:00,2025-11-03 17:32:53+00:00,3511.0
jmeter,9105,18475.0,0.1701,237,1393,True,True,Java,2239,1998-09-03 00:24:13+00:00,2025-11-20 14:16:02+00:00,9940.0
xmlgraphics-commons,20,662.0,0.1695,70,413,True,True,Java,24,2006-02-20 15:49:33+00:00,2025-11-14 11:42:05+00:00,7206.0
incubator-taverna-common-activities,11,855.0,0.1691,35,207,True,True,Java,13,2009-02-13 09:09:52+00:00,2020-03-12 16:28:51+00:00,4045.0
tuscany-sca-1.x,2,10863.0,0.1688,1012,5996,True,False,Java,7,2005-12-18 02:57:58+00:00,2011-12-14 12:09:11+00:00,2187.0
pdfbox,2951,12729.0,0.1658,213,1285,True,True,Java,926,2008-02-10 18:26:16+00:00,2025-11-19 12:10:56+00:00,6491.0
doris,14618,28569.0,0.1657,1018,6144,False,True,Java,3610,2017-08-11 09:51:21+00:00,2025-11-21 16:11:35+00:00,3024.0
struts-sandbox,5,1878.0,0.1636,180,1100,True,False,Java,5,2001-07-05 12:05:41+00:00,2022-04-23 08:38:11+00:00,7596.0
aries,116,6549.0,0.1629,291,1786,True,True,Java,159,2009-09-29 12:10:45+00:00,2025-11-20 17:01:37+00:00,5896.0
qpid-proton-j,35,3219.0,0.1616,75,464,True,True,Java,60,2012-03-20 20:27:43+00:00,2024-02-13 11:22:40+00:00,4346.0
pekko-platform-guide,4,894.0,0.1613,20,124,False,True,Java,6,2020-08-10 09:06:18+00:00,2024-03-22 15:09:08+00:00,1320.0
karaf,699,9835.0,0.1608,260,1617,True,True,Java,665,2007-11-26 18:06:16+00:00,2025-11-21 12:05:53+00:00,6569.0
olingo-odata4,178,1948.0,0.1608,294,1828,True,True,Java,199,2013-11-07 12:28:42+00:00,2025-06-04 20:42:12+00:00,4227.0
james-jspf,22,751.0,0.1589,17,107,True,True,Java,35,2006-05-06 12:29:21+00:00,2025-09-07 19:12:21+00:00,7064.0
incubator-tajo,26,1192.0,0.1577,137,869,True,False,Java,15,2011-12-09 11:39:47+00:00,2014-03-20 09:49:22+00:00,831.0
polygene-java,93,5820.0,0.1573,436,2772,True,False,Java,28,2007-03-04 06:07:33+00:00,2019-02-14 17:37:06+00:00,4365.0
hama,132,1595.0,0.1569,67,427,True,False,Java,71,2008-06-19 09:52:00+00:00,2018-07-29 21:44:33+00:00,3692.0
xmlgraphics-fop,209,8636.0,0.1563,326,2086,True,True,Java,150,1999-10-31 18:13:49+00:00,2025-11-14 11:52:58+00:00,9510.0
servicecomb-pack,1917,1684.0,0.1557,76,488,True,True,Java,431,2017-07-18 08:27:38+00:00,2024-09-10 09:05:55+00:00,2611.0
dubbo-hessian-lite,65,2545.0,0.1554,53,341,True,True,Java,52,2011-10-20 15:04:29+00:00,2025-11-17 10:42:13+00:00,5141.0
maven-plugin-tools,62,1386.0,0.1538,28,182,True,True,Java,68,2007-10-29 01:09:10+00:00,2025-11-17 16:24:25+00:00,6594.0
commons-bsf,27,997.0,0.1538,12,78,True,True,Java,22,2002-11-01 10:03:07+00:00,2025-11-21 14:28:16+00:00,8421.0
