repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
xalan-j,23,4561.0,0.0063,6,958,True,False,Java,65,1999-11-09 16:50:01+00:00,2019-05-24 04:01:20+00:00,7135.0
maven-wagon,48,1393.0,0.4286,81,189,True,True,Java,107,2004-03-30 14:42:58+00:00,2025-11-16 01:29:41+00:00,7900.0
directory-studio,141,5828.0,0.0363,67,1847,True,True,Java,61,2006-11-16 09:49:01+00:00,2025-08-11 07:40:30+00:00,6842.0
etch,17,549.0,0.2536,107,422,True,False,Java,8,2008-07-29 06:31:55+00:00,2015-05-18 06:36:35+00:00,2484.0
tapestry3,5,1985.0,0.0518,44,849,True,False,Java,12,2000-07-24 14:38:00+00:00,2024-12-08 15:49:38+00:00,8903.0
zookeeper,12663,2667.0,0.3942,378,959,True,True,Java,7329,2008-05-19 17:51:27+00:00,2025-11-10 13:19:53+00:00,6383.0
jspwiki,110,9595.0,0.1788,138,772,True,True,Java,103,2007-10-06 05:00:16+00:00,2025-11-16 19:59:52+00:00,6616.0
tapestry4,7,3793.0,0.194,343,1768,True,False,Java,12,2000-07-24 14:38:00+00:00,2024-12-08 15:51:21+00:00,8903.0
ofbiz,801,24427.0,0.0534,57,1068,True,False,Java,557,2006-07-01 19:05:20+00:00,2017-02-12 10:32:53+00:00,3878.0
chainsaw,18,934.0,0.0317,6,189,True,False,Java,19,2000-12-14 02:19:26+00:00,2014-11-20 14:26:16+00:00,5089.0
maven-scm,98,2334.0,0.3898,175,449,True,True,Java,182,2004-04-20 19:05:47+00:00,2025-11-06 17:15:39+00:00,7869.0
xmlgraphics-fop,209,8636.0,0.1563,326,2086,True,True,Java,150,1999-10-31 18:13:49+00:00,2025-11-14 11:52:58+00:00,9510.0
maven-enforcer,156,978.0,0.3136,37,118,True,True,Java,169,2007-09-01 00:16:55+00:00,2025-11-17 16:22:55+00:00,6652.0
maven-release,122,1236.0,0.2948,74,251,True,True,Java,143,2006-12-09 19:06:48+00:00,2025-11-09 09:49:48+00:00,6909.0
synapse,76,4359.0,0.1223,158,1292,True,True,Java,62,2005-08-22 12:39:51+00:00,2025-10-08 17:01:39+00:00,7352.0
maven-mercury,2,769.0,0.1714,54,315,True,False,Java,6,2008-05-23 22:59:23+00:00,2010-05-04 20:04:55+00:00,710.0
commons-collections,711,4981.0,0.457,292,639,True,True,Java,501,2001-04-14 15:38:58+00:00,2025-11-21 14:39:34+00:00,8986.0
cayenne,335,7444.0,0.1897,740,3901,True,True,Java,139,2007-01-21 11:11:02+00:00,2025-11-11 12:23:21+00:00,6869.0
pig,687,3767.0,0.2161,387,1791,True,False,Java,448,2007-10-29 19:40:23+00:00,2025-09-15 11:23:41+00:00,6530.0
mina,915,2411.0,0.2751,85,309,True,True,Java,427,2005-12-28 07:54:25+00:00,2023-10-05 07:24:02+00:00,6489.0
commons-codec,470,3257.0,0.461,71,154,True,True,Java,253,2003-04-25 17:51:00+00:00,2025-11-21 14:39:24+00:00,8245.0
maven-plugins,239,15063.0,0.2708,512,1891,True,False,Java,270,2004-03-15 19:32:20+00:00,2018-04-02 14:06:46+00:00,5130.0
commons-lang,2879,9020.0,0.4637,236,509,True,True,Java,1800,2002-07-19 03:35:56+00:00,2025-11-21 14:42:46+00:00,8526.0
nutch,3090,3542.0,0.2085,108,518,True,True,Java,1260,2005-01-23 01:28:09+00:00,2025-11-10 15:07:44+00:00,7596.0
camel,6050,77518.0,0.414,7557,18252,True,True,Java,5087,2007-03-19 10:54:57+00:00,2025-11-19 11:23:42+00:00,6820.0
poi,2154,13607.0,0.279,1034,3706,True,True,Java,803,2002-01-31 02:22:28+00:00,2025-11-20 14:31:22+00:00,8694.0
logging-log4j1,867,3237.0,0.1713,62,362,True,False,Java,578,2000-11-16 19:56:51+00:00,2022-01-17 22:09:06+00:00,7732.0
maven-shared,28,3387.0,0.2367,129,545,True,False,Java,41,2005-11-28 21:19:46+00:00,2017-12-22 11:27:19+00:00,4406.0
xmlgraphics-commons,20,662.0,0.1695,70,413,True,True,Java,24,2006-02-20 15:49:33+00:00,2025-11-14 11:42:05+00:00,7206.0
openjpa,146,5393.0,0.2051,975,4753,True,True,Java,149,2006-05-02 01:50:04+00:00,2022-11-18 22:42:52+00:00,6044.0
commons-io,1047,5920.0,0.4749,255,537,True,True,Java,702,2002-01-25 19:06:14+00:00,2025-11-21 14:41:47+00:00,8700.0
