repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
incubator-sentry,15.8,713,286,27,410,59,0,1,51,7,1.7,86.4,11.9,200,351,22.8
ftpserver,24.2,977,220,8,857,78,14,20,30,28,25.6,38.5,35.9,134,800,36.8
incubator-retired-tamaya-extensions,35.6,1618,376,7,872,213,23,16,81,116,7.5,38.0,54.5,156,688,57.7
santuario-xml-security-java,45.4,1790,275,13,642,92,7,2,57,33,2.2,62.0,35.9,170,560,35.1
qpid-jms,50.7,2449,468,21,451,161,14,1,53,107,0.6,32.9,66.5,286,314,36.0
mina,52.9,2411,327,24,1360,166,19,9,104,53,5.4,62.7,31.9,137,1217,54.8
commons-pool,60.1,3224,108,10,112,55,0,0,10,45,0.0,18.2,81.8,43,57,56.1
directmemory,13.2,642,80,15,146,28,4,6,11,11,21.4,39.3,39.3,37,123,43.1
shardingsphere-elasticjob,67.2,2475,769,33,885,421,34,20,245,156,4.8,58.2,37.1,315,525,57.2
santuario-java,76.3,2922,249,10,944,90,6,26,17,47,28.9,18.9,52.2,149,860,37.7
james-mime4j,24.3,996,218,5,504,138,21,9,95,34,6.5,68.8,24.6,75,392,64.8
james-jsieve,14.9,615,131,20,406,71,25,11,43,17,15.5,60.6,23.9,40,366,64.0
geronimo-xbean,27.8,1063,495,16,662,88,10,5,43,40,5.7,48.9,45.5,392,592,18.4
incubator-taverna-language,74.9,3560,158,5,392,51,2,3,19,29,5.9,37.3,56.9,102,343,33.3
aries-jax-rs-whiteboard,15.3,795,80,10,138,4,1,0,1,3,0.0,25.0,75.0,66,135,5.7
streams,72.5,1819,210,2,754,95,5,8,60,27,8.4,63.2,28.4,113,664,45.7
cassandra-java-driver,48.9,1925,462,42,1537,346,26,3,261,82,0.9,75.4,23.7,74,1260,82.4
creadur-rat,67.9,3439,227,26,417,164,15,8,104,52,4.9,63.4,31.7,37,271,81.6
maven-shared-utils,19.9,578,36,2,74,27,1,0,17,10,0.0,63.0,37.0,7,48,79.4
maven-2,116.7,5638,244,27,1198,156,6,1,86,69,0.6,55.1,44.2,61,1052,71.9
logging-flume,49.8,2014,520,30,922,272,6,4,220,48,1.5,80.9,17.6,218,668,55.5
commons-scxml,60.1,2130,91,5,154,39,0,2,12,25,5.1,30.8,64.1,47,115,45.3
commons-jexl,70.6,3825,130,2,303,29,7,2,12,15,6.9,41.4,51.7,99,281,22.7
jackrabbit,240.3,9420,1640,91,3927,437,67,65,123,249,14.9,28.1,57.0,1112,3583,28.2
commons-proxy,13.3,609,142,22,210,112,35,19,26,67,17.0,23.2,59.8,8,135,93.3
hadoop-mapreduce,28.2,960,577,5,1139,179,34,2,71,106,1.1,39.7,59.2,393,995,31.3
wink,24.8,895,482,12,949,106,7,4,76,26,3.8,71.7,24.5,364,857,22.6
aurora,100.1,4091,424,28,1010,353,7,13,266,74,3.7,75.4,21.0,44,665,89.1
mina-ftpserver,28.5,1061,220,8,858,78,14,20,30,28,25.6,38.5,35.9,134,801,36.8
opennlp,73.0,2379,620,65,2455,502,20,4,336,162,0.8,66.9,32.3,53,1985,90.5
ozone,299.7,9851,1573,118,3073,747,15,12,473,262,1.6,63.3,35.1,708,2342,51.3
maven-enforcer,21.7,978,68,8,94,55,13,0,30,25,0.0,54.5,45.5,5,56,91.7
maven-doxia,50.4,2020,133,11,545,96,14,7,46,43,7.3,47.9,44.8,26,464,78.7
accumulo,304.5,14604,724,12,3222,577,28,33,278,266,5.7,48.2,46.1,135,2681,81.0
uima-uimafit,19.5,1055,183,7,244,113,34,0,64,49,0.0,56.6,43.4,63,180,64.2
bookkeeper,106.0,3609,894,107,1866,451,18,7,317,127,1.6,70.3,28.2,336,1460,57.3
ratis,51.3,1892,252,16,591,54,0,3,17,34,5.6,31.5,63.0,182,537,22.9
phoenix-omid,34.5,1404,153,8,393,45,2,4,22,19,8.9,48.9,42.2,100,350,31.0
crunch,26.4,1093,137,4,683,97,7,3,44,50,3.1,45.4,51.5,36,593,72.9
maven-jar-plugin,12.9,609,7,2,69,4,1,0,2,2,0.0,50.0,50.0,1,66,80.0
ignite-3,214.3,6372,1782,121,6735,1040,76,40,634,366,3.8,61.0,35.2,621,5806,62.6
