repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
maven-war-plugin,24.5,821,38,2,41,11,1,0,3,8,0.0,27.3,72.7,25,31,30.6
commons-graph,28.0,915,53,27,203,8,0,0,8,0,0.0,100.0,0.0,18,195,30.8
chukwa,40.8,854,142,4,445,49,0,0,37,12,0.0,75.5,24.5,89,396,35.5
cxf-fediz,80.5,2372,101,8,462,23,5,4,5,14,17.4,21.7,60.9,70,445,24.7
sling-whiteboard,85.8,1901,297,22,1141,189,5,2,126,61,1.1,66.7,32.3,86,961,68.7
plc4x-extras,17.4,574,28,0,135,21,0,0,21,0,0.0,100.0,0.0,7,114,75.0
opennlp-sandbox,39.8,830,155,11,809,114,7,3,45,66,2.6,39.5,57.9,30,702,79.2
onami,24.9,744,214,51,403,26,2,2,23,1,7.7,88.5,3.8,137,379,16.0
maven-project-info-reports-plugin,31.7,1105,57,3,46,28,2,0,15,13,0.0,53.6,46.4,26,20,51.9
openwebbeans,162.8,4246,1218,77,976,92,13,15,21,56,16.3,22.8,60.9,1049,900,8.1
logging-log4j1,105.8,3237,111,1,902,70,3,8,19,43,11.4,27.1,61.4,40,835,63.6
servicemix4-nmr,21.4,678,62,7,317,36,1,2,22,12,5.6,61.1,33.3,19,282,65.5
commons-chain,20.6,715,50,35,143,6,1,4,1,1,66.7,16.7,16.7,9,138,40.0
pig,161.9,3767,633,8,2078,50,0,3,37,10,6.0,74.0,20.0,575,2028,8.0
servicemix4-features,34.3,1085,57,3,151,20,1,5,3,12,25.0,15.0,60.0,34,135,37.0
bval,39.1,1418,234,10,486,50,4,0,40,10,0.0,80.0,20.0,174,442,22.3
drill,232.9,4566,1141,46,4449,236,9,8,160,68,3.4,67.8,28.8,859,4228,21.6
servicecomb-java-chassis,201.6,4646,1249,54,3329,789,31,28,562,199,3.5,71.2,25.2,407,2580,66.0
hop,480.0,8669,2531,49,7048,1895,273,31,1635,229,1.6,86.3,12.1,587,5518,76.3
jena,461.3,12603,3016,252,7745,752,39,45,526,181,6.0,69.9,24.1,2012,7035,27.2
freemarker,107.6,2561,254,8,719,73,7,4,25,44,5.5,34.2,60.3,173,660,29.7
maven-artifact,15.3,610,45,8,156,24,0,0,12,12,0.0,50.0,50.0,13,132,64.9
nifi,594.1,11341,2527,179,8966,1792,46,14,1387,391,0.8,77.4,21.8,556,7236,76.3
eagle,43.1,1050,453,21,1775,207,8,5,105,97,2.4,50.7,46.9,225,1576,47.9
oodt,81.3,2251,384,30,1863,289,42,14,173,102,4.8,59.9,35.3,65,1616,81.6
incubator-hugegraph,90.2,2067,344,1,1553,185,25,25,37,123,13.5,20.0,66.5,158,1397,53.9
flink-connector-hive,30.7,782,64,4,304,31,1,2,16,13,6.5,51.6,41.9,29,275,51.7
cayenne,282.0,7453,1730,198,3890,567,49,32,386,149,5.6,68.1,26.3,965,3388,37.0
curator,86.0,2879,207,10,716,69,3,5,49,15,7.2,71.0,21.7,128,652,35.0
wicket,732.6,22103,2402,143,4974,1092,154,112,351,629,10.3,32.1,57.6,1168,4375,48.3
commons-jci,23.1,1073,38,24,80,0,0,0,0,0,0.0,0.0,0.0,14,80,0.0
tsfile,48.3,1401,378,16,1236,222,38,22,156,44,9.9,70.3,19.8,140,1060,61.3
mina-sshd,110.6,3116,385,25,1185,223,17,9,84,130,4.0,37.7,58.3,137,983,61.9
amoro,118.2,1768,909,101,2162,228,16,5,164,59,2.2,71.9,25.9,580,1953,28.2
jspwiki,303.3,9682,587,3,1627,401,74,58,202,141,14.5,50.4,35.2,183,1304,68.7
camel-examples,106.4,2780,148,2,658,34,5,1,21,12,2.9,61.8,35.3,112,631,23.3
