repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
sling-org-apache-sling-testing-sling-mock,14.7,640,95,31,63,23,5,0,11,12,0.0,47.8,52.2,41,51,35.9
commons-statistics,25.3,1064,153,7,194,95,4,0,90,5,0.0,94.7,5.3,51,103,65.1
commons-validator,59.6,2763,93,5,81,54,4,5,34,15,9.3,63.0,27.8,34,31,61.4
commons-rdf,40.7,2068,61,16,114,20,2,0,3,17,0.0,15.0,85.0,25,98,44.4
commons-text,58.9,2680,105,1,117,94,7,3,67,24,3.2,71.3,25.5,10,31,90.4
commons-codec,76.1,3272,81,1,81,68,7,0,44,24,0.0,64.7,35.3,12,22,85.0
datasketches-memory,25.4,1097,131,4,90,69,20,19,8,42,27.5,11.6,60.9,58,67,54.3
commons-crypto,46.0,2001,50,7,65,22,0,1,4,17,4.5,18.2,77.3,21,43,51.2
commons-fileupload,47.5,2079,60,14,59,19,4,0,9,10,0.0,47.4,52.6,27,44,41.3
sling-org-apache-sling-resourceresolver,22.3,955,58,7,97,35,3,3,9,23,8.6,25.7,65.7,16,65,68.6
commons-rng,51.2,1972,165,4,259,140,5,1,97,42,0.7,69.3,30.0,21,126,87.0
commons-logging,43.6,1935,71,48,43,4,0,0,2,2,0.0,50.0,50.0,19,39,17.4
commons-compress,167.2,6370,253,11,507,155,7,3,48,104,1.9,31.0,67.1,87,359,64.0
camel-quarkus-examples,19.8,566,45,14,124,2,0,0,2,0,0.0,100.0,0.0,29,122,6.5
velocity-engine,136.3,4479,202,146,849,26,0,0,6,20,0.0,23.1,76.9,30,823,46.4
commons-collections,151.9,4998,537,51,739,419,12,44,279,96,10.5,66.6,22.9,67,364,86.2
commons-dbcp,85.8,3515,76,9,79,41,1,1,5,35,2.4,12.2,85.4,26,39,61.2
activemq,348.6,12145,2564,168,3099,862,122,40,183,639,4.6,21.2,74.1,1534,2735,36.0
commons-exec,34.5,1626,36,3,43,16,0,0,5,11,0.0,31.2,68.8,17,27,48.5
harmony,43.8,956,3010,135,5556,1772,188,16,1521,235,0.9,85.8,13.3,1103,4026,61.6
maven-site-plugin,42.9,1604,35,1,136,28,3,0,26,2,0.0,92.9,7.1,6,124,82.4
harmony-classlib,274.5,7475,2956,121,5427,1967,290,42,689,1236,2.1,35.0,62.8,868,3831,69.4
activemq-artemis,358.9,11878,2414,160,3912,434,53,29,198,207,6.7,45.6,47.7,1820,3579,19.3
