repository,matched_pairs,test_first_count,same_commit_count,same_commit_outlier_count,prod_first_count,test_first_%,same_commit_%,same_commit_outlier_%,prod_first_%,test_first_adj_%,same_commit_adj_%,prod_first_adj_%
abdera,41,7,9,6,19,17.07,21.95,14.63,46.34,20.0,25.71,54.29
accumulo,577,33,144,134,266,5.72,24.96,23.22,46.1,7.45,32.51,60.05
accumulo-fluo,38,0,15,1,22,0.0,39.47,2.63,57.89,0.0,40.54,59.46
accumulo-proxy,2,1,0,0,1,50.0,0.0,0.0,50.0,50.0,0.0,50.0
ace,149,25,18,26,80,16.78,12.08,17.45,53.69,20.33,14.63,65.04
activemq,862,40,62,121,639,4.64,7.19,14.04,74.13,5.4,8.37,86.23
activemq-apollo,327,118,6,14,189,36.09,1.83,4.28,57.8,37.7,1.92,60.38
activemq-artemis,434,29,55,143,207,6.68,12.67,32.95,47.7,9.97,18.9,71.13
airavata,187,24,32,28,103,12.83,17.11,14.97,55.08,15.09,20.13,64.78
ambari,1118,33,510,193,382,2.95,45.62,17.26,34.17,3.57,55.14,41.3
ambari-logsearch,68,3,36,2,27,4.41,52.94,2.94,39.71,4.55,54.55,40.91
ambari-metrics,53,1,19,21,12,1.89,35.85,39.62,22.64,3.12,59.38,37.5
amoro,228,5,66,98,59,2.19,28.95,42.98,25.88,3.85,50.77,45.38
ant,498,62,60,21,355,12.45,12.05,4.22,71.29,13.0,12.58,74.42
ant-ivy,125,3,36,31,55,2.4,28.8,24.8,44.0,3.19,38.3,58.51
ant-ivyde,3,0,1,2,0,0.0,33.33,66.67,0.0,0.0,100.0,0.0
apex-core,93,10,20,10,53,10.75,21.51,10.75,56.99,12.05,24.1,63.86
apex-malhar,547,31,237,116,163,5.67,43.33,21.21,29.8,7.19,54.99,37.82
archiva,487,20,89,208,170,4.11,18.28,42.71,34.91,7.17,31.9,60.93
archiva-redback-core,54,2,3,43,6,3.7,5.56,79.63,11.11,18.18,27.27,54.55
aries,294,24,37,74,159,8.16,12.59,25.17,54.08,10.91,16.82,72.27
aries-jax-rs-whiteboard,4,0,1,0,3,0.0,25.0,0.0,75.0,0.0,25.0,75.0
aries-rsa,85,11,24,19,31,12.94,28.24,22.35,36.47,16.67,36.36,46.97
asterixdb,278,43,86,21,128,15.47,30.94,7.55,46.04,16.73,33.46,49.81
asterixdb-hyracks,118,15,41,11,51,12.71,34.75,9.32,43.22,14.02,38.32,47.66
atlas,421,6,86,37,292,1.43,20.43,8.79,69.36,1.56,22.4,76.04
aurora,353,13,132,134,74,3.68,37.39,37.96,20.96,5.94,60.27,33.79
avro,124,4,55,21,44,3.23,44.35,16.94,35.48,3.88,53.4,42.72
axis-axis1-java,151,24,12,25,90,15.89,7.95,16.56,59.6,19.05,9.52,71.43
axis-axis2-java-core,533,70,61,78,324,13.13,11.44,14.63,60.79,15.38,13.41,71.21
axis-axis2-java-rampart,26,15,0,5,6,57.69,0.0,19.23,23.08,71.43,0.0,28.57
axis-axis2-java-sandesha,41,10,0,18,13,24.39,0.0,43.9,31.71,43.48,0.0,56.52
beam,2161,72,809,703,577,3.33,37.44,32.53,26.7,4.94,55.49,39.57
bifromq,386,9,124,168,85,2.33,32.12,43.52,22.02,4.13,56.88,38.99
bookkeeper,451,7,180,137,127,1.55,39.91,30.38,28.16,2.23,57.32,40.45
brooklyn-library,80,5,17,12,46,6.25,21.25,15.0,57.5,7.35,25.0,67.65
brooklyn-server,580,16,182,55,327,2.76,31.38,9.48,56.38,3.05,34.67,62.29
bval,50,0,12,28,10,0.0,24.0,56.0,20.0,0.0,54.55,45.45
calcite,209,8,52,50,99,3.83,24.88,23.92,47.37,5.03,32.7,62.26
calcite-avatica,132,6,31,42,53,4.55,23.48,31.82,40.15,6.67,34.44,58.89
camel,4455,327,1036,870,2222,7.34,23.25,19.53,49.88,9.12,28.9,61.98
camel-examples,34,1,18,3,12,2.94,52.94,8.82,35.29,3.23,58.06,38.71
camel-k-runtime,51,0,16,1,34,0.0,31.37,1.96,66.67,0.0,32.0,68.0
camel-kafka-connector,13,2,8,0,3,15.38,61.54,0.0,23.08,15.38,61.54,23.08
camel-karaf,26,5,5,16,0,19.23,19.23,61.54,0.0,50.0,50.0,0.0
camel-quarkus,53,6,25,0,22,11.32,47.17,0.0,41.51,11.32,47.17,41.51
camel-quarkus-examples,2,0,2,0,0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
camel-spring-boot,3469,227,812,598,1832,6.54,23.41,17.24,52.81,7.91,28.28,63.81
cassandra,1191,49,204,400,538,4.11,17.13,33.59,45.17,6.19,25.79,68.02
cassandra-java-driver,346,3,97,164,82,0.87,28.03,47.4,23.7,1.65,53.3,45.05
causeway,1499,266,106,488,639,17.75,7.07,32.56,42.63,26.31,10.48,63.2
cayenne,567,32,107,279,149,5.64,18.87,49.21,26.28,11.11,37.15,51.74
celeborn,110,1,15,48,46,0.91,13.64,43.64,41.82,1.61,24.19,74.19
chainsaw,9,0,2,3,4,0.0,22.22,33.33,44.44,0.0,33.33,66.67
chemistry-opencmis,55,6,17,9,23,10.91,30.91,16.36,41.82,13.04,36.96,50.0
chukwa,49,0,31,6,12,0.0,63.27,12.24,24.49,0.0,72.09,27.91
clerezza,114,3,32,60,19,2.63,28.07,52.63,16.67,5.56,59.26,35.19
cloudberry-pxf,157,3,51,61,42,1.91,32.48,38.85,26.75,3.12,53.12,43.75
cloudstack,1084,31,106,414,533,2.86,9.78,38.19,49.17,4.63,15.82,79.55
cocoon,56,15,10,11,20,26.79,17.86,19.64,35.71,33.33,22.22,44.44
commons-bcel,100,0,2,1,97,0.0,2.0,1.0,97.0,0.0,2.02,97.98
commons-beanutils,90,7,29,9,45,7.78,32.22,10.0,50.0,8.64,35.8,55.56
commons-bsf,11,1,0,0,10,9.09,0.0,0.0,90.91,9.09,0.0,90.91
commons-chain,6,4,0,1,1,66.67,0.0,16.67,16.67,80.0,0.0,20.0
commons-cli,48,0,1,30,17,0.0,2.08,62.5,35.42,0.0,5.56,94.44
commons-codec,68,0,15,29,24,0.0,22.06,42.65,35.29,0.0,38.46,61.54
commons-collections,419,44,113,166,96,10.5,26.97,39.62,22.91,17.39,44.66,37.94
commons-compress,155,3,29,19,104,1.94,18.71,12.26,67.1,2.21,21.32,76.47
commons-configuration,157,1,84,48,24,0.64,53.5,30.57,15.29,0.92,77.06,22.02
commons-crypto,22,1,0,4,17,4.55,0.0,18.18,77.27,5.56,0.0,94.44
commons-csv,22,1,4,3,14,4.55,18.18,13.64,63.64,5.26,21.05,73.68
commons-dbcp,41,1,1,4,35,2.44,2.44,9.76,85.37,2.7,2.7,94.59
commons-dbutils,38,1,5,17,15,2.63,13.16,44.74,39.47,4.76,23.81,71.43
commons-digester,23,8,1,0,14,34.78,4.35,0.0,60.87,34.78,4.35,60.87
commons-email,38,0,2,24,12,0.0,5.26,63.16,31.58,0.0,14.29,85.71
commons-exec,16,0,0,5,11,0.0,0.0,31.25,68.75,0.0,0.0,100.0
commons-fileupload,19,0,4,5,10,0.0,21.05,26.32,52.63,0.0,28.57,71.43
commons-functor,162,4,35,86,37,2.47,21.6,53.09,22.84,5.26,46.05,48.68
commons-geometry,172,7,20,120,25,4.07,11.63,69.77,14.53,13.46,38.46,48.08
commons-graph,8,0,0,8,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
commons-imaging,97,0,3,7,87,0.0,3.09,7.22,89.69,0.0,3.33,96.67
commons-io,227,3,107,38,79,1.32,47.14,16.74,34.8,1.59,56.61,41.8
commons-jcs,133,21,38,12,62,15.79,28.57,9.02,46.62,17.36,31.4,51.24
commons-jelly,23,0,5,0,18,0.0,21.74,0.0,78.26,0.0,21.74,78.26
commons-jexl,29,2,3,9,15,6.9,10.34,31.03,51.72,10.0,15.0,75.0
commons-jxpath,11,0,2,1,8,0.0,18.18,9.09,72.73,0.0,20.0,80.0
commons-lang,381,9,117,96,159,2.36,30.71,25.2,41.73,3.16,41.05,55.79
commons-logging,4,0,0,2,2,0.0,0.0,50.0,50.0,0.0,0.0,100.0
commons-math,639,14,240,207,178,2.19,37.56,32.39,27.86,3.24,55.56,41.2
commons-net,92,2,8,16,66,2.17,8.7,17.39,71.74,2.63,10.53,86.84
commons-numbers,86,1,29,45,11,1.16,33.72,52.33,12.79,2.44,70.73,26.83
commons-ognl,71,59,0,11,1,83.1,0.0,15.49,1.41,98.33,0.0,1.67
commons-pool,55,0,3,7,45,0.0,5.45,12.73,81.82,0.0,6.25,93.75
commons-proxy,112,19,19,7,67,16.96,16.96,6.25,59.82,18.1,18.1,63.81
commons-rdf,20,0,1,2,17,0.0,5.0,10.0,85.0,0.0,5.56,94.44
commons-rng,140,1,59,38,42,0.71,42.14,27.14,30.0,0.98,57.84,41.18
commons-scxml,39,2,6,6,25,5.13,15.38,15.38,64.1,6.06,18.18,75.76
commons-statistics,95,0,34,56,5,0.0,35.79,58.95,5.26,0.0,87.18,12.82
commons-text,94,3,33,34,24,3.19,35.11,36.17,25.53,5.0,55.0,40.0
commons-validator,54,5,10,24,15,9.26,18.52,44.44,27.78,16.67,33.33,50.0
commons-vfs,72,0,11,16,45,0.0,15.28,22.22,62.5,0.0,19.64,80.36
commons-weaver,8,0,2,4,2,0.0,25.0,50.0,25.0,0.0,50.0,50.0
continuum,114,2,16,41,55,1.75,14.04,35.96,48.25,2.74,21.92,75.34
creadur-rat,164,8,16,88,52,4.88,9.76,53.66,31.71,10.53,21.05,68.42
creadur-whisker,17,0,3,0,14,0.0,17.65,0.0,82.35,0.0,17.65,82.35
crunch,97,3,35,9,50,3.09,36.08,9.28,51.55,3.41,39.77,56.82
curator,69,5,38,11,15,7.25,55.07,15.94,21.74,8.62,65.52,25.86
cxf,1177,144,106,485,442,12.23,9.01,41.21,37.55,20.81,15.32,63.87
cxf-dosgi,71,8,21,14,28,11.27,29.58,19.72,39.44,14.04,36.84,49.12
cxf-fediz,23,4,3,2,14,17.39,13.04,8.7,60.87,19.05,14.29,66.67
datafu,18,1,8,8,1,5.56,44.44,44.44,5.56,10.0,80.0,10.0
datasketches-java,308,17,37,132,122,5.52,12.01,42.86,39.61,9.66,21.02,69.32
datasketches-memory,69,19,3,5,42,27.54,4.35,7.25,60.87,29.69,4.69,65.62
db-jdo,527,452,5,43,27,85.77,0.95,8.16,5.12,93.39,1.03,5.58
ddlutils,39,0,5,0,34,0.0,12.82,0.0,87.18,0.0,12.82,87.18
deltaspike,187,34,28,22,103,18.18,14.97,11.76,55.08,20.61,16.97,62.42
derby,82,13,19,1,49,15.85,23.17,1.22,59.76,16.05,23.46,60.49
directmemory,28,6,11,0,11,21.43,39.29,0.0,39.29,21.43,39.29,39.29
directory-fortress-core,26,8,2,11,5,30.77,7.69,42.31,19.23,53.33,13.33,33.33
directory-kerby,78,3,6,22,47,3.85,7.69,28.21,60.26,5.36,10.71,83.93
directory-ldap-api,692,31,111,204,346,4.48,16.04,29.48,50.0,6.35,22.75,70.9
directory-mavibot,48,3,9,6,30,6.25,18.75,12.5,62.5,7.14,21.43,71.43
directory-scimple,60,15,7,9,29,25.0,11.67,15.0,48.33,29.41,13.73,56.86
directory-server,257,20,37,60,140,7.78,14.4,23.35,54.47,10.15,18.78,71.07
directory-studio,56,2,5,23,26,3.57,8.93,41.07,46.43,6.06,15.15,78.79
dolphinscheduler,652,42,220,164,226,6.44,33.74,25.15,34.66,8.61,45.08,46.31
doris,1081,33,443,199,406,3.05,40.98,18.41,37.56,3.74,50.23,46.03
drill,236,8,126,34,68,3.39,53.39,14.41,28.81,3.96,62.38,33.66
druid,2411,54,876,564,917,2.24,36.33,23.39,38.03,2.92,47.43,49.65
dubbo,1143,119,164,237,623,10.41,14.35,20.73,54.51,13.13,18.1,68.76
dubbo-hessian-lite,355,42,21,74,218,11.83,5.92,20.85,61.41,14.95,7.47,77.58
