repository,commit_size_rows,pairs_rows,q_lines,q_files,thr_lines,thr_files,outlier_commits,outlier_commit_fraction,same_commit_pairs,same_commit_pairs_relabeled,same_commit_pairs_relabeled_fraction
harmony,956,1772,0.99,0.99,2387.900000000003,141.25000000000023,14,0.014644351464435146,1521,1521,1.0
maven-site-plugin,1604,28,0.99,0.99,904.6100000000004,50.850000000000136,25,0.015586034912718205,26,26,1.0
plc4x-extras,574,21,0.99,0.99,471.1499999999992,31.269999999999982,9,0.0156794425087108,21,21,1.0
axis-axis2-java-sandesha,884,41,0.99,0.99,2317.819999999916,47.889999999999304,14,0.01583710407239819,18,18,1.0
sandesha,884,41,0.99,0.99,2317.819999999916,47.889999999999304,14,0.01583710407239819,18,18,1.0
commons-ognl,994,71,0.99,0.99,699.3999999999924,77.48999999999955,15,0.015090543259557344,11,11,1.0
commons-graph,915,8,0.99,0.99,526.5800000000007,31.440000000000055,17,0.018579234972677595,8,8,1.0
netbeans-mavenutils-nbm-maven-plugin,1835,25,0.99,0.99,485.5600000000013,22.0,32,0.017438692098092644,8,8,1.0
incubator-taverna-workbench-common-activities,502,7,0.99,0.99,2354.0900000000047,67.0,10,0.0199203187250996,6,6,1.0
maven-checkstyle-plugin,831,11,0.99,0.99,756.6000000000035,24.40000000000009,15,0.018050541516245487,6,6,1.0
axis-axis2-java-rampart,1197,26,0.99,0.99,1817.5599999999913,61.4399999999996,21,0.017543859649122806,5,5,1.0
commons-exec,1626,16,0.99,0.99,336.25,21.5,28,0.017220172201722016,5,5,1.0
rampart,1041,26,0.99,0.99,2055.9999999999986,59.19999999999982,17,0.01633045148895293,5,5,1.0
commons-crypto,2001,22,0.99,0.99,382.0,21.0,37,0.018490754622688656,4,4,1.0
commons-logging,1935,4,0.99,0.99,665.5400000000016,19.320000000000164,37,0.019121447028423774,2,2,1.0
maven-jar-plugin,609,4,0.99,0.99,583.319999999992,22.0,11,0.0180623973727422,2,2,1.0
vxquery,1156,3,0.99,0.99,3803.1000000000554,107.40000000000055,22,0.01903114186851211,2,2,1.0
commons-chain,715,6,0.99,0.99,1214.500000000001,82.86000000000001,14,0.019580419580419582,1,1,1.0
xalan-java,4871,5,0.99,0.99,2766.3000000000093,56.0,79,0.016218435639499075,1,1,1.0
stratos,8951,777,0.99,0.99,2542.0,127.0,154,0.017204781588649312,726,723,0.9958677685950413
commons-cli,2110,48,0.99,0.99,716.2499999999891,25.909999999999854,35,0.016587677725118485,31,30,0.967741935483871
